,equity
2015-10-19,10000.0
2015-10-20,9796.434539840002
2015-10-21,9709.284539840002
2015-10-22,9854.454539840002
2015-10-23,10452.544539840002
2015-10-26,10615.264539840004
2015-10-27,10656.064539840003
2015-10-28,10762.394539840003
2015-10-29,10921.014539840002
2015-10-30,10908.354539840002
2015-11-02,10948.674539840003
2015-11-03,10905.744539840001
2015-11-04,11179.814539840005
2015-11-05,11432.304539840003
2015-11-06,11479.026239840003
2015-11-09,11406.416239840002
2015-11-10,11476.316239840004
2015-11-11,11711.976239840002
2015-11-12,11585.004539840003
2015-11-13,11186.814539840003
2015-11-16,11282.154539840001
2015-11-17,11213.676239840004
2015-11-18,11563.004539840003
2015-11-19,11525.396239840002
2015-11-20,11650.954539840004
2015-11-23,11829.014539840004
2015-11-24,11692.164539840001
2015-11-25,11766.124539840004
2015-11-27,11730.834539840003
2015-11-30,11589.954539840002
2015-12-01,11838.744539840001
2015-12-02,11785.566239840002
2015-12-03,11614.324539840003
2015-12-04,11731.844539840002
2015-12-07,11682.674539840003
2015-12-08,11814.864539840004
2015-12-09,11596.294539840002
2015-12-10,11552.834539840003
2015-12-11,11167.826239840004
2015-12-14,11474.926239840004
2015-12-15,11492.586239840002
2015-12-16,11787.294539840002
2015-12-17,11697.874539840002
2015-12-18,11584.404539840001
2015-12-21,11592.584539840003
2015-12-22,11572.754539840002
2015-12-23,11579.514539840004
2015-12-24,11564.604539840004
2015-12-28,11776.346239840004
2015-12-29,12099.284539840002
2015-12-30,12014.936239840004
2015-12-31,11785.834539840002
2016-01-04,11116.904539840003
2016-01-05,11264.845108150004
2016-01-06,11262.395108150005
2016-01-07,11258.755108150004
2016-01-08,11262.008941915004
2016-01-11,11262.008941915004
2016-01-12,11262.008941915004
2016-01-13,11262.008941915004
2016-01-14,11262.008941915004
2016-01-15,11262.008941915004
2016-01-19,11262.008941915004
2016-01-20,11262.008941915004
2016-01-21,11262.008941915004
2016-01-22,11262.008941915004
2016-01-25,11262.008941915004
2016-01-26,11262.008941915004
2016-01-27,11262.008941915004
2016-01-28,11262.008941915004
2016-01-29,11262.008941915004
2016-02-01,11262.008941915004
2016-02-02,11262.008941915004
2016-02-03,11262.008941915004
2016-02-04,11262.008941915004
2016-02-05,11262.008941915004
2016-02-08,11262.008941915004
2016-02-09,11262.008941915004
2016-02-10,11262.008941915004
2016-02-11,11262.008941915004
2016-02-12,11262.008941915004
2016-02-16,11262.008941915004
2016-02-17,11262.008941915004
2016-02-18,11262.008941915004
2016-02-19,11262.008941915004
2016-02-22,11262.008941915004
2016-02-23,11262.008941915004
2016-02-24,11262.008941915004
2016-02-25,11262.008941915004
2016-02-26,11262.008941915004
2016-02-29,11262.008941915004
2016-03-01,11262.008941915004
2016-03-02,11399.615867760007
2016-03-03,11406.465867760005
2016-03-04,11289.145867760008
2016-03-07,11332.965867760007
2016-03-08,11189.875867760007
2016-03-09,11297.645867760006
2016-03-10,11422.295867760007
2016-03-11,11502.005867760006
2016-03-14,11453.735867760008
2016-03-15,11364.185867760007
2016-03-16,11477.265867760008
2016-03-17,11581.135867760007
2016-03-18,11715.025867760007
2016-03-21,11753.905867760006
2016-03-22,11711.675867760008
2016-03-23,11688.365867760007
2016-03-24,11649.805867760006
2016-03-28,11696.955867760009
2016-03-29,11883.665867760006
2016-03-30,12116.975867760008
2016-03-31,12139.015867760007
2016-04-01,12319.455867760007
2016-04-04,12176.405867760006
2016-04-05,12032.765867760007
2016-04-06,12040.035867760007
2016-04-07,11890.455867760007
2016-04-08,11892.175867760006
2016-04-11,11981.435867760008
2016-04-12,12034.295867760007
2016-04-13,12245.455867760007
2016-04-14,12274.145867760008
2016-04-15,12357.695867760007
2016-04-18,12384.845867760007
2016-04-19,12242.845867760007
2016-04-20,12134.095867760008
2016-04-21,11850.395867760006
2016-04-22,11815.30361113001
2016-04-25,11713.72361113001
2016-04-26,11742.52361113001
2016-04-27,11827.183611130009
2016-04-28,11590.063611130008
2016-04-29,11343.013611130009
2016-05-02,11343.239426410008
2016-05-03,11257.67942641001
2016-05-04,11154.141596410009
2016-05-05,11173.671596410008
2016-05-06,11207.151596410009
2016-05-09,11202.50159641001
2016-05-10,11265.74159641001
2016-05-11,11275.041596410008
2016-05-12,11229.471596410009
2016-05-13,11732.601596410008
2016-05-16,11845.131596410009
2016-05-17,11853.50159641001
2016-05-18,11953.941596410008
2016-05-19,11971.611596410008
2016-05-20,12044.151596410007
2016-05-23,12050.66159641001
2016-05-24,12150.655196410007
2016-05-25,12132.985196410009
2016-05-26,12119.41236842501
2016-05-27,12288.67236842501
2016-05-31,12345.762368425008
2016-06-01,12475.092368425008
2016-06-02,12536.622368425007
2016-06-03,12408.012368425007
2016-06-06,12295.72236842501
2016-06-07,12290.892368425008
2016-06-08,12322.302368425007
2016-06-09,12467.592368425008
2016-06-10,12301.15236842501
2016-06-13,12328.092368425008
2016-06-14,12283.662368425008
2016-06-15,12305.112368425007
2016-06-16,12325.272368425009
2016-06-17,12193.272368425009
2016-06-20,12309.642368425008
2016-06-21,12345.22236842501
2016-06-22,12361.242368425008
2016-06-23,12617.92236842501
2016-06-24,12000.252368425008
2016-06-27,11772.042368425009
2016-06-28,11944.13723417501
2016-06-29,12148.737234175009
2016-06-30,12201.26723417501
2016-07-01,12223.46723417501
2016-07-05,12263.161849820011
2016-07-06,12340.90184982001
2016-07-07,12449.581849820011
2016-07-08,12711.221849820009
2016-07-11,12866.431849820012
2016-07-12,12947.051849820009
2016-07-13,12869.27184982001
2016-07-14,13032.451849820012
2016-07-15,12961.03184982001
2016-07-18,13014.541849820009
2016-07-19,13101.691849820012
2016-07-20,13137.80768454001
2016-07-21,12996.96768454001
2016-07-22,13163.857684540011
2016-07-25,13374.987684540012
2016-07-26,13522.25768454001
2016-07-27,13502.207684540012
2016-07-28,13534.567684540012
2016-07-29,13596.607684540011
2016-08-01,13520.75768454001
2016-08-02,13351.747684540012
2016-08-03,13361.777684540011
2016-08-04,13483.217684540012
2016-08-05,13663.547684540012
2016-08-08,13672.847684540011
2016-08-09,13668.677684540013
2016-08-10,13660.617684540011
2016-08-11,13834.64768454001
2016-08-12,14270.467684540012
2016-08-15,14379.80768454001
2016-08-16,14326.013675870014
2016-08-17,14201.953675870012
2016-08-18,14244.35367587001
2016-08-19,14432.673675870012
2016-08-22,14497.073675870013
2016-08-23,14553.327275870011
2016-08-24,14239.007275870012
2016-08-25,14336.847275870012
2016-08-26,14652.37727587001
2016-08-29,14690.657275870011
2016-08-30,14559.36727587001
2016-08-31,14483.54727587001
2016-09-01,14771.627275870012
2016-09-02,14710.34727587001
2016-09-06,14991.647275870013
2016-09-07,14884.707275870012
2016-09-08,15060.727275870011
2016-09-09,14425.647275870011
2016-09-12,14970.85727587001
2016-09-13,14803.817275870013
2016-09-14,14972.047275870013
2016-09-15,15386.777275870012
2016-09-16,15414.517275870014
2016-09-19,15566.21727587001
2016-09-20,15407.087275870013
2016-09-21,15881.717275870013
2016-09-22,15927.687275870012
2016-09-23,15814.329835575016
2016-09-26,15731.079835575016
2016-09-27,16155.519835575014
2016-09-28,16136.919835575016
2016-09-29,16110.539835575015
2016-09-30,16289.419835575012
2016-10-03,16346.029835575013
2016-10-04,16384.439835575013
2016-10-05,16408.129835575015
2016-10-06,16385.999835575014
2016-10-07,16290.389835575013
2016-10-10,16491.999835575014
2016-10-11,15880.149835575012
2016-10-12,16075.854124075015
2016-10-13,15999.844124075013
2016-10-14,16100.084124075012
2016-10-17,16032.884124075012
2016-10-18,16294.664124075012
2016-10-19,16212.134124075013
2016-10-20,16337.734124075014
2016-10-21,16251.524124075015
2016-10-24,16642.014124075013
2016-10-25,16889.014124075016
2016-10-26,16857.684124075015
2016-10-27,16725.454124075015
2016-10-28,16610.324124075014
2016-10-31,16498.964124075017
2016-11-01,16109.514124075013
2016-11-02,15904.044124075015
2016-11-03,15814.612955275014
2016-11-04,15789.682955275013
2016-11-07,16266.082955275015
2016-11-08,16261.522955275015
2016-11-09,16110.232955275013
2016-11-10,15796.708174735015
2016-11-11,17897.068174735014
2016-11-14,17649.285137250015
2016-11-15,18133.615137250017
2016-11-16,18571.155137250018
2016-11-17,18933.375137250016
2016-11-18,19092.625137250016
2016-11-21,19078.345137250017
2016-11-22,19063.255137250017
2016-11-23,19131.915137250016
2016-11-25,19212.973259935014
2016-11-28,19187.583259935018
2016-11-29,18924.93325993502
2016-11-30,18918.793259935017
2016-12-01,17957.563259935017
2016-12-02,18207.003259935016
2016-12-05,18490.71325993502
2016-12-06,18783.69325993502
2016-12-07,19511.313259935017
2016-12-08,19344.86325993502
2016-12-09,19149.423259935018
2016-12-12,18759.453259935017
2016-12-13,19094.203259935017
2016-12-14,19490.133259935017
2016-12-15,19828.383259935017
2016-12-16,19844.663259935016
2016-12-19,20007.00325993502
2016-12-20,20443.023259935017
2016-12-21,20494.03325993502
2016-12-22,21512.98325993502
2016-12-23,21793.263259935018
2016-12-27,22532.423259935018
2016-12-28,21551.493259935018
2016-12-29,21511.023259935017
2016-12-30,20969.00325993502
2017-01-03,20874.44325993502
2017-01-04,20884.63733929502
2017-01-05,20793.147339295017
2017-01-06,20717.857339295017
2017-01-09,20789.43673929502
2017-01-10,20793.25733929502
2017-01-11,20834.22673929502
2017-01-12,20655.546739295016
2017-01-13,20626.217339295017
2017-01-17,20212.31014298502
2017-01-18,20446.28074298502
2017-01-19,20699.90074298502
2017-01-20,20673.65134298502
2017-01-23,20692.97074298502
2017-01-24,20933.51134298502
2017-01-25,21796.280142985022
2017-01-26,21859.610742985024
2017-01-27,22072.19074298502
2017-01-30,21614.30074298502
2017-01-31,21339.89636757192
2017-02-01,21556.649367571925
2017-02-02,21318.809367571925
2017-02-03,21583.769367571927
2017-02-06,21676.196967571923
2017-02-07,21888.296967571925
2017-02-08,21950.909367571923
2017-02-09,21932.009367571925
2017-02-10,21943.136967571925
2017-02-13,22121.113167571923
2017-02-14,22145.869367571926
2017-02-15,21931.513767571927
2017-02-16,22005.689367571926
2017-02-17,22268.449367571928
2017-02-21,22428.39376757192
2017-02-22,22230.409367571923
2017-02-23,22060.932567571923
2017-02-24,22365.229367571923
2017-02-27,22451.825567571927
2017-02-28,22447.206167571927
2017-03-01,22807.173167571924
2017-03-02,22509.304967571927
2017-03-03,22853.433167571922
2017-03-06,22920.785567571926
2017-03-07,22411.385567571924
2017-03-08,22107.896967571924
2017-03-09,21940.753167571926
2017-03-10,22078.796367571926
2017-03-13,22210.564967571925
2017-03-14,22041.656367571926
2017-03-15,22123.616967571925
2017-03-16,22014.809367571925
2017-03-17,21720.149367571925
2017-03-20,21703.049967571926
2017-03-21,21086.429367571927
2017-03-22,21467.531484033825
2017-03-23,21256.251484033826
2017-03-24,21338.351484033825
2017-03-27,21479.231484033826
2017-03-28,21374.271484033827
2017-03-29,21309.391484033826
2017-03-30,21641.591484033826
2017-03-31,21485.871484033825
2017-04-03,21393.013401333825
2017-04-04,20095.160501333827
2017-04-05,19754.552934178828
2017-04-06,19880.662834178827
2017-04-07,20000.102834178826
2017-04-10,20213.59433417883
2017-04-11,20164.875834178827
2017-04-12,19837.502834178827
2017-04-13,19981.715834178827
2017-04-17,19942.744334178828
2017-04-18,19877.992934178827
2017-04-19,19997.404334178827
2017-04-20,19976.252834178827
2017-04-21,20008.345734178827
2017-04-24,19849.544234458583
2017-04-25,20180.26423445858
2017-04-26,20000.43573445858
2017-04-27,20091.18373445858
2017-04-28,20229.74623445858
2017-05-01,20530.85523445858
2017-05-02,20422.18373445858
2017-05-03,20303.313834458582
2017-05-04,19984.981334458582
2017-05-05,20235.05446588433
2017-05-08,20064.844465884333
2017-05-09,20033.141565884333
2017-05-10,20030.874465884335
2017-05-11,20120.29446588433
2017-05-12,20120.70716588433
2017-05-15,19933.75396588433
2017-05-16,19883.314465884334
2017-05-17,19431.24446588433
2017-05-18,19346.552794674328
2017-05-19,19362.49989467433
2017-05-22,19400.782794674327
2017-05-23,19402.232794674328
2017-05-24,19450.665694674328
