,equity
2015-10-20,10000.0
2015-10-21,9844.935335105003
2015-10-22,9993.985335105002
2015-10-23,10592.675335105003
2015-10-26,10755.315335105004
2015-10-27,10796.115335105003
2015-10-28,10904.045335105004
2015-10-29,11061.505335105001
2015-10-30,11047.925335105003
2015-11-02,11087.485335105004
2015-11-03,11049.555335105002
2015-11-04,11328.305335105004
2015-11-05,11582.275335105001
2015-11-06,11619.557035105003
2015-11-09,11543.147035105001
2015-11-10,11612.287035105002
2015-11-11,11850.787035105002
2015-11-12,11725.575335105004
2015-11-13,11325.705335105004
2015-11-16,11422.485335105002
2015-11-17,11358.687035105004
2015-11-18,11711.015335105003
2015-11-19,11673.967035105003
2015-11-20,11801.525335105005
2015-11-23,11978.945335105003
2015-11-24,11840.055335105002
2015-11-25,11915.575335105004
2015-11-27,11880.325335105003
2015-11-30,11741.125335105002
2015-12-01,11993.555335105002
2015-12-02,11939.617035105002
2015-12-03,11765.335335105003
2015-12-04,11887.935335105003
2015-12-07,11837.965335105004
2015-12-08,11972.835335105003
2015-12-09,11751.185335105003
2015-12-10,11706.885335105004
2015-12-11,11317.237035105003
2015-12-14,11627.297035105004
2015-12-15,11647.957035105002
2015-12-16,11944.665335105003
2015-12-17,11853.885335105002
2015-12-18,11738.815335105002
2015-12-21,11748.075335105003
2015-12-22,11730.125335105002
2015-12-23,11735.405335105004
2015-12-24,11720.815335105004
2015-12-28,11932.997035105003
2015-12-29,12258.135335105002
2015-12-30,12173.187035105004
2015-12-31,11941.205335105002
2016-01-04,11267.915335105003
2016-01-05,11413.935903415006
2016-01-06,11410.085903415005
2016-01-07,11404.365903415004
2016-01-08,11409.479070760004
2016-01-11,11409.479070760004
2016-01-12,11409.479070760004
2016-01-13,11409.479070760004
2016-01-14,11409.479070760004
2016-01-15,11409.479070760004
2016-01-19,11409.479070760004
2016-01-20,11409.479070760004
2016-01-21,11409.479070760004
2016-01-22,11409.479070760004
2016-01-25,11409.479070760004
2016-01-26,11409.479070760004
2016-01-27,11409.479070760004
2016-01-28,11409.479070760004
2016-01-29,11409.479070760004
2016-02-01,11409.479070760004
2016-02-02,11409.479070760004
2016-02-03,11409.479070760004
2016-02-04,11409.479070760004
2016-02-05,11409.479070760004
2016-02-08,11409.479070760004
2016-02-09,11409.479070760004
2016-02-10,11409.479070760004
2016-02-11,11409.479070760004
2016-02-12,11409.479070760004
2016-02-16,11409.479070760004
2016-02-17,11409.479070760004
2016-02-18,11409.479070760004
2016-02-19,11409.479070760004
2016-02-22,11409.479070760004
2016-02-23,11409.479070760004
2016-02-24,11409.479070760004
2016-02-25,11409.479070760004
2016-02-26,11409.479070760004
2016-02-29,11409.479070760004
2016-03-01,11409.479070760004
2016-03-02,11521.552992295006
2016-03-03,11420.342992295007
2016-03-04,11385.442992295006
2016-03-07,11312.152992295009
2016-03-08,11106.242992295007
2016-03-09,11099.262992295007
2016-03-10,11081.812992295007
2016-03-11,11270.272992295006
2016-03-14,11298.192992295006
2016-03-15,11242.352992295007
2016-03-16,11577.392992295006
2016-03-17,11479.672992295007
2016-03-18,11825.182992295007
2016-03-21,11860.082992295005
2016-03-22,11839.142992295006
2016-03-23,12041.562992295007
2016-03-24,12059.012992295005
2016-03-28,12181.162992295007
2016-03-29,12376.602992295007
2016-03-30,12505.732992295007
2016-03-31,12460.362992295008
2016-04-01,12641.842992295007
2016-04-04,12519.692992295006
2016-04-05,12502.242992295007
2016-04-06,12519.692992295006
2016-04-07,12390.562992295007
2016-04-08,12470.832992295005
2016-04-11,12547.612992295008
2016-04-12,12533.652992295009
2016-04-13,12847.752992295007
2016-04-14,12882.652992295009
2016-04-15,12983.862992295008
2016-04-18,12928.022992295006
2016-04-19,12697.682992295007
2016-04-20,12746.542992295008
2016-04-21,12732.582992295005
2016-04-22,12683.722992295008
2016-04-25,12746.542992295008
