symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2015-11-05,572.286,646.7764500000001,17.0,0.0,0.12790491006356874,Leader rotation
NFLX,2015-11-05,2015-12-02,113.80687499999999,125.467235,97.0,0.0,0.10025471847624523,Leader rotation
ATVI,2015-12-02,2015-12-11,38.589285,37.74112,319.0,0.0,-0.023933375110910315,Leader rotation
NVDA,2015-12-11,2016-01-07,32.66632499999999,30.72463,368.0,0.0,-0.06131950478444881,Supertrend down
NVDA,2016-03-02,2016-03-15,32.586285,32.113935000000005,345.0,0.0,-0.016464402318143834,Leader rotation
MAT,2016-03-15,2016-03-21,32.466225,32.56371,340.0,0.0,0.0009986576005571735,Leader rotation
CTRP,2016-03-21,2016-05-02,42.86142,43.53822,257.0,0.0,0.013760872818739056,Supertrend down
NVDA,2016-05-26,2017-01-04,45.272625,103.34830000000001,249.0,63.54480000000001,1.2838692243945427,Supertrend down
STX,2017-01-04,2017-02-02,39.74986499999999,44.267855000000004,641.0,0.0,0.11143541587531813,Leader rotation
NVDA,2017-02-02,2017-02-14,113.35664999999999,107.936005,252.0,0.0,-0.04972184122983814,Supertrend down
STX,2017-02-14,2017-02-15,47.673824999999994,47.906035,570.0,0.0,0.0028630731088530315,Leader rotation
CSX,2017-02-15,2017-02-17,47.01339495,47.50613505,566.0,0.0,0.00846190213822795,Leader rotation
MU,2017-02-17,2017-03-01,23.021505,24.147920000000003,1193.0,0.0,0.04683305490203238,Leader rotation
CSX,2017-03-01,2017-03-06,49.224700049999996,49.09544,574.0,0.0,-0.004618673897084924,Leader rotation
MU,2017-03-06,2017-03-21,25.512749999999997,26.28685,1122.0,0.0,0.02828306714010953,Leader rotation
INCY,2017-03-21,2017-04-03,148.43418,134.9325,197.0,0.0,-0.0927769830681544,Supertrend down
WDC,2017-04-03,2017-04-21,82.64129999999999,84.60767500000001,320.0,0.0,0.02174855303950607,Leader rotation
CSX,2017-04-21,2017-05-12,49.85501505,52.044164900000006,547.0,0.0,0.04182458880925499,Leader rotation
NVDA,2017-05-12,2017-07-05,126.69331499999998,141.82905000000002,224.0,31.360000000000003,0.11833473940267081,Supertrend down
NVDA,2017-07-18,2017-07-20,161.86088999999998,165.847035,193.0,0.0,0.022579773858325547,Leader rotation
VRTX,2017-07-20,2017-10-26,160.01997,144.80756,202.0,0.0,-0.09687375765790851,Supertrend down
NVDA,2017-10-26,2017-10-30,194.87739,201.75907000000004,150.0,0.0,0.03324431312952747,Leader rotation
ALGN,2017-10-30,2017-12-05,234.46717499999997,224.90749000000002,128.0,0.0,-0.0426884940904223,Supertrend down
DLTR,2017-12-19,2018-01-05,109.57475999999998,109.535205,265.0,0.0,-0.0023582671633642915,Leader rotation
MU,2018-01-05,2018-02-05,46.153065,40.119930000000004,614.0,0.0,-0.1324569603405471,Supertrend down
NVDA,2018-02-16,2018-02-26,245.5227,247.67610000000002,102.0,15.299999999999999,0.007365481102940219,Leader rotation
ALGN,2018-02-26,2018-03-09,266.9334,269.865,95.0,0.0,0.008962569655236896,Leader rotation
MU,2018-03-09,2018-03-26,55.787879999999994,56.23187,459.0,0.0,0.005944635490515493,Supertrend down
NFLX,2018-05-11,2018-05-17,329.814825,327.366235,78.0,0.0,-0.009407304209591905,Leader rotation
STX,2018-05-17,2018-06-06,59.139554999999994,59.67015000000001,431.0,0.0,0.006955986075291687,Leader rotation
NFLX,2018-06-06,2018-07-18,367.9686924,381.04938000000004,69.0,0.0,0.033479343302475595,Supertrend down
AMZN,2018-07-18,2018-07-26,1848.924,1838.0805,14.0,0.0,-0.007851046614943846,Leader rotation
ALGN,2018-07-26,2018-08-30,377.798805,382.88846,69.0,0.0,0.011446947514585526,Leader rotation
AMZN,2018-08-30,2018-09-04,1998.41871,2025.48675,13.0,0.0,0.01151966467856691,Leader rotation
ILMN,2018-09-04,2018-10-05,354.35708999999997,333.833,75.0,0.0,-0.059801509830095245,Supertrend down
XLNX,2018-12-04,2018-12-20,93.96696,84.70762500000001,268.0,0.0,-0.1003393214380458,Supertrend down
REGN,2019-01-10,2019-01-25,399.5996999999999,410.64457500000003,57.0,0.0,0.02558662160827807,Leader rotation
XLNX,2019-01-25,2019-04-26,105.97296,115.46224000000001,219.0,78.84,0.0907611391946268,Supertrend down
MELI,2019-04-26,2019-08-06,491.435595,588.235735,52.0,0.0,0.19458265701362953,Supertrend down
QCOM,2019-09-06,2019-10-09,78.99947999999999,73.873045,386.0,239.32,-0.05892004443735388,Supertrend down
ASML,2019-10-16,2019-10-25,260.39013,262.318775,107.0,0.0,0.005393950851503515,Leader rotation
LRCX,2019-10-25,2019-11-08,265.1325,271.16435,108.0,0.0,0.020706865763017168,Leader rotation
QCOM,2019-11-08,2019-11-19,90.02499,91.204375,327.0,0.0,0.01107646306346144,Leader rotation
LRCX,2019-11-19,2019-11-25,284.71228499999995,263.937965,104.0,0.0,-0.07481822774671809,Supertrend down
AMD,2019-11-25,2019-12-17,39.519749999999995,42.488745,698.0,0.0,0.07297876131800951,Leader rotation
TSLA,2019-12-17,2020-02-06,379.179495,699.56954025,77.0,0.0,0.8412699212831625,Supertrend down
