symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2016-01-05,572.286,646.5365700000001,17.0,0.0,0.12748658649933597,Supertrend down
ATVI,2015-10-20,2016-01-08,33.77688,36.771605,7.0,0.0,0.08648682944488262,Supertrend down
MAT,2016-03-02,2016-04-22,32.286135,31.00449,125.0,0.0,-0.041615140151245344,Supertrend down
CTRP,2016-04-22,2016-05-02,47.53375499999999,43.53822,76.0,0.0,-0.08588684926215995,Supertrend down
AMAT,2016-03-02,2016-05-04,19.159574999999997,19.990000000000002,217.0,0.0,0.04125795796931575,Supertrend down
AMAT,2016-05-26,2016-06-28,23.681835,22.738625000000003,186.0,0.0,-0.041746841753682484,Supertrend down
CHTR,2016-05-26,2016-07-05,223.00144499999996,231.554165,15.0,0.0,0.0362781250842763,Leader rotation
YHOO,2016-07-05,2016-07-20,37.69884,38.34082,104.0,0.0,0.014997144873289736,Leader rotation
ULTA,2016-07-05,2016-08-16,243.56171999999998,265.867,16.0,0.0,0.08939860172935732,Leader rotation
MU,2016-08-16,2016-09-23,15.58779,17.441275,273.0,0.0,0.11667063116081877,Leader rotation
STX,2016-09-23,2016-10-12,36.188085,35.492245,132.0,0.0,-0.021188011922254946,Supertrend down
NTES,2016-07-20,2016-11-03,200.1,242.99844000000002,20.0,15.600000000000001,0.215852820642626,Supertrend down
MU,2016-10-12,2016-11-14,16.88844,17.761115,189.0,0.0,0.049571674870104054,Leader rotation
AAL,2016-11-10,2016-11-25,42.731355,46.31683,148.0,0.0,0.08174170655526569,Leader rotation
NVDA,2016-03-02,2017-01-04,32.586285,103.34830000000001,93.0,34.4472,2.1765462021872053,Supertrend down
MU,2016-11-25,2017-01-17,19.959974999999996,21.86906,341.0,0.0,0.09345655865929614,Leader rotation
INCY,2017-01-17,2017-01-31,115.75784999999999,117.89102500000001,141.0,0.0,0.016393086918109923,Leader rotation
STX,2016-11-14,2017-03-22,37.168575,44.39779000000001,90.0,113.4,0.2259771698434605,Supertrend down
WDC,2017-01-04,2017-03-22,69.61479,72.94351,6.0,0.0,0.04572273681036365,Supertrend down
CSX,2017-01-31,2017-03-22,46.99358505,45.61708005,362.0,65.16,-0.027404332652904095,Supertrend down
INCY,2017-03-22,2017-04-03,141.820875,134.9325,18.0,0.0,-0.050471909756553135,Supertrend down
NVDA,2017-03-22,2017-04-05,105.51272999999999,99.96499250000001,174.0,0.0,-0.05447179458578355,Supertrend down
MU,2017-03-22,2017-04-24,25.742865,27.72613,2.0,0.0,0.07488941642133229,Leader rotation
TSLA,2017-04-05,2017-05-05,302.19102,297.85149975,23.0,0.0,-0.016329499604615272,Supertrend down
CSX,2017-04-24,2017-05-18,51.505840049999996,48.975500000000004,205.0,0.0,-0.05102709118619897,Supertrend down
ILMN,2017-05-05,2017-05-18,188.42416500000002,176.201855,2.0,0.0,-0.06673433664064088,Supertrend down
JD,2017-05-26,2017-06-12,40.950464999999994,38.9805,197.0,0.0,-0.050007933167135254,Supertrend down
ATVI,2017-05-26,2017-06-13,59.18957999999999,57.431270000000005,148.0,0.0,-0.031645059691381205,Supertrend down
WDC,2017-04-03,2017-07-31,82.64129999999999,86.07694000000001,29.0,14.5,0.045536052813770045,Supertrend down
NVDA,2017-07-18,2017-08-14,161.86088999999998,159.59016499999998,50.0,0.0,-0.015998839920696506,Supertrend down
JD,2017-07-31,2017-08-16,45.292635,44.447765000000004,43.0,0.0,-0.020614316726697668,Supertrend down
VRTX,2017-07-18,2017-09-19,129.274605,153.19336500000003,62.0,0.0,0.18265520401821678,Leader rotation
EA,2017-09-01,2017-09-26,121.33063499999999,114.44275,42.0,0.0,-0.05865412179831431,Supertrend down
