symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2016-01-05,572.286,646.5365700000001,11.0,0.0,0.12748658649933575,Supertrend down
NVDA,2015-10-20,2016-01-07,27.703845,30.72463,6.0,0.6912,0.1109767269834585,Supertrend down
ATVI,2015-10-20,2016-01-08,33.77688,36.771605,104.0,0.0,0.08648682944488262,Supertrend down
MU,2016-09-08,2016-09-28,17.188589999999998,18.150920000000003,1.0,0.0,0.05387669527136518,Leader rotation
AMAT,2016-09-28,2016-10-12,29.744864999999997,28.645670000000003,2.0,0.0,-0.03887827717134029,Supertrend down
SYMC,2016-07-05,2016-10-14,20.400195,24.397795000000002,1.0,0.075,0.19724214556616926,Supertrend down
NTAP,2016-10-14,2016-11-02,34.067024999999994,33.12343,1.0,0.0,-0.029640852975000853,Supertrend down
NVDA,2016-03-02,2017-01-04,32.586285,103.34830000000001,341.0,126.3064,2.176546202187205,Supertrend down
MU,2016-10-14,2017-03-14,17.038515,25.577205000000003,2.0,0.0,0.49814122259520244,Leader rotation
CSX,2016-11-11,2017-03-22,34.227004949999994,45.61708005,1.0,0.36,0.340624967320065,Supertrend down
WDC,2017-01-04,2017-03-22,69.61479,72.94351,19.0,0.0,0.04572273681036365,Supertrend down
STX,2017-03-14,2017-03-22,47.263619999999996,44.39779000000001,718.0,452.34,-0.049195686740800326,Supertrend down
IDXX,2017-03-22,2017-03-30,152.29611,154.372775,51.0,0.0,0.011610459959304986,Leader rotation
INCY,2017-03-22,2017-04-03,141.820875,134.9325,54.0,0.0,-0.050471909756553024,Supertrend down
NFLX,2017-03-30,2017-04-20,146.88340499999998,140.22985000000003,120.0,0.0,-0.047205703874304006,Supertrend down
IDXX,2017-04-03,2017-04-20,155.14753499999998,157.731095,47.0,0.0,0.014621005464527714,Leader rotation
MU,2017-03-22,2017-04-25,25.742865,26.696645000000004,308.0,0.0,0.03497823765731023,Supertrend down
STX,2017-04-20,2017-04-27,47.90394,42.148915,144.0,0.0,-0.12189474636916309,Supertrend down
CSX,2017-04-25,2017-05-18,50.21519505,48.975500000000004,378.0,0.0,-0.026636323836267572,Supertrend down
LRCX,2017-04-27,2017-06-13,146.35314,156.58167,41.0,18.45,0.07082342039289347,Supertrend down
NVDA,2017-05-26,2017-07-05,137.998965,141.82905000000002,134.0,0.0,0.025700991849651356,Supertrend down
CSX,2017-07-18,2017-07-20,54.517244999999996,51.854060000000004,1.0,0.0,-0.05075072145491755,Supertrend down
WDC,2017-04-20,2017-07-31,83.42168999999998,86.07694000000001,85.0,42.5,0.03575531257396758,Supertrend down
MELI,2017-07-31,2017-08-07,291.58572,257.93097,17.0,0.0,-0.11718714000605557,Supertrend down
NVDA,2017-07-18,2017-08-14,161.86088999999998,159.59016499999998,157.0,0.0,-0.015998839920696284,Supertrend down
JD,2017-07-24,2017-08-16,43.171575,44.447765000000004,1.0,0.0,0.027503821130530515,Supertrend down
TSLA,2017-09-01,2017-09-25,356.29755975,352.97292525,33.0,0.0,-0.011310420180025038,Supertrend down
NVDA,2017-09-25,2017-09-26,177.838875,176.361775,67.0,0.0,-0.010287239945828253,Supertrend down
ATVI,2017-09-01,2017-10-10,65.69282999999999,61.119425,200.0,0.0,-0.07147692881044565,Supertrend down
VRTX,2017-08-07,2017-10-26,152.6763,144.80756,43.0,0.0,-0.05343374049676186,Supertrend down
MU,2017-10-10,2017-11-09,41.470725,43.668155,572.0,0.0,0.050883627885959015,Leader rotation
WYNN,2017-09-26,2017-11-22,142.45119,158.450735,2.0,1.0,0.11360003812102692,Leader rotation
NVDA,2017-11-09,2017-11-30,205.372635,199.1004,122.0,18.3,-0.03174808487582992,Supertrend down
MU,2017-11-22,2017-11-30,49.874925,44.13792,6.0,0.0,-0.11679601828669706,Supertrend down
ALGN,2017-10-26,2017-12-05,202.691295,224.90749000000002,30.0,0.0,0.10738906861103459,Supertrend down
ISRG,2017-11-30,2017-12-05,398.1994002,369.5055548,3.0,0.0,-0.07391301499193748,Supertrend down
DLTR,2017-11-30,2017-12-19,104.202075,109.46524000000001,4.0,0.0,0.048410295397363745,Leader rotation
