symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMZN,2015-10-20,2016-01-05,572.286,646.5365700000001,17.0,0.0,0.12748658649933597,Supertrend down
ATVI,2015-10-20,2016-01-08,33.77688,36.771605,7.0,0.0,0.08648682944488262,Supertrend down
AMAT,2016-09-23,2016-10-12,30.345164999999998,28.645670000000003,1.0,0.0,-0.05789156545677365,Supertrend down
SYMC,2016-07-05,2016-10-14,20.400195,24.397795000000002,2.0,0.15,0.19724214556616926,Supertrend down
NVDA,2016-03-02,2017-01-04,32.586285,103.34830000000001,345.0,127.78800000000001,2.1765462021872053,Supertrend down
MU,2016-10-14,2017-02-06,17.038515,24.517735000000002,2.0,0.0,0.43608457171787096,Leader rotation
NVDA,2017-02-06,2017-02-14,114.05699999999999,107.936005,301.0,0.0,-0.05555688255561986,Supertrend down
CSX,2016-11-10,2017-03-22,34.07692995,45.61708005,1.0,0.36,0.346529087564047,Supertrend down
STX,2017-01-04,2017-03-22,39.74986499999999,44.39779000000001,34.0,21.42,0.13053097806102665,Supertrend down
INCY,2017-03-22,2017-04-03,141.820875,134.9325,116.0,0.0,-0.050471909756553024,Supertrend down
NFLX,2017-03-22,2017-04-20,142.61627249999998,140.22985000000003,117.0,0.0,-0.018697740262980322,Supertrend down
MU,2017-02-14,2017-04-25,23.371679999999998,26.696645000000004,35.0,0.0,0.13998245098127549,Supertrend down
TSLA,2017-04-20,2017-05-05,306.663255,297.85149975,53.0,0.0,-0.030674894980842637,Supertrend down
CSX,2017-04-25,2017-05-18,50.21519505,48.975500000000004,22.0,0.0,-0.026636323836267795,Supertrend down
LRCX,2017-05-05,2017-06-13,151.03548,156.58167,79.0,35.550000000000004,0.037626191938741727,Supertrend down
NVDA,2017-05-26,2017-07-05,137.998965,141.82905000000002,35.0,0.0,0.025700991849651134,Supertrend down
WDC,2017-04-03,2017-07-31,82.64129999999999,86.07694000000001,189.0,94.5,0.04553605281377027,Supertrend down
MELI,2017-07-31,2017-08-07,291.58572,257.93097,19.0,0.0,-0.11718714000605568,Supertrend down
NVDA,2017-07-18,2017-08-14,161.86088999999998,159.59016499999998,108.0,0.0,-0.015998839920696395,Supertrend down
JD,2017-08-07,2017-08-16,46.66332,44.447765000000004,219.0,0.0,-0.049382721231080784,Supertrend down
PYPL,2017-09-01,2017-09-20,62.01098999999999,63.95800500000001,208.0,0.0,0.029337167141208376,Leader rotation
NVDA,2017-09-20,2017-09-26,187.59375,176.361775,70.0,0.0,-0.06175230346864524,Supertrend down
PYPL,2017-09-26,2017-10-09,63.741854999999994,66.16690000000001,7.0,0.0,0.03597076679990607,Leader rotation
ATVI,2017-09-01,2017-10-10,65.69282999999999,61.119425,214.0,0.0,-0.07147692881044576,Supertrend down
VRTX,2017-07-31,2017-10-17,153.066495,154.47272500000003,35.0,0.0,0.007170695238126523,Leader rotation
MU,2017-10-10,2017-11-01,41.470725,44.767605,315.0,0.0,0.07734213076246532,Leader rotation
LRCX,2017-10-09,2017-11-30,185.0925,197.311295,67.0,0.0,0.06388463410652334,Supertrend down
NVDA,2017-10-17,2017-11-30,197.188545,199.1004,27.0,4.05,0.008438127847878674,Supertrend down
ALGN,2017-11-01,2017-12-05,243.1215,224.90749000000002,57.0,0.0,-0.0767656320579857,Supertrend down
ISRG,2017-11-30,2017-12-05,398.1994002,369.5055548,6.0,0.0,-0.07391301499193748,Supertrend down
DLTR,2017-12-19,2018-01-08,109.57475999999998,110.70462,136.0,0.0,0.00829271219076344,Leader rotation
TTWO,2018-01-08,2018-01-22,116.55824999999999,117.711115,130.0,0.0,0.007873127445229944,Leader rotation
MNST,2017-11-30,2018-02-06,61.85091,63.068450000000006,27.0,0.0,0.01764774537495306,Supertrend down
